,user_name,user_location,date,text,rating
176,Luizon,,2022-09-25 18:34:02+00:00,RT @gabcarvaalho: 🗣🗣 VENDO TUSCA TERCEIRO LOTE ESTUDANTE,
177,\begin{document},,2022-09-25 18:16:48+00:00,"Eu não sobrevivo a todos dias de um tusca mais, a idade chegou",
178,Maria,,2022-09-25 18:15:33+00:00,pensando seriamente em comprar Tusca no dia da Lud,
179,karine,sp,2022-09-25 18:11:14+00:00,"interunifesp maior q inter unesp e tusca, temos artistas internacionais enquanto eles só tem pedro sampaio",
180,AZ,,2022-09-25 18:06:38+00:00,RT @gabcarvaalho: 🗣🗣 VENDO TUSCA TERCEIRO LOTE ESTUDANTE,
181,o trouxa do ano,"Campinas, Brasil",2022-09-25 17:21:31+00:00,"Eu só vou no Tusca, por causa da @luisasonza, gostaria de saber qual localização do penhasco da música.",
182,guilli | HotD | Midnights,"São Carlos, Brasil",2022-09-25 17:04:16+00:00,"O drama, vou em outubro no meio de novembro volto pra cá pro tusca e em dezembro volto de vez, falando assim até parece que vou ficar meses e até anos longe deles",
183,jaque,"Marília, Brasil",2022-09-25 16:31:18+00:00,@julpdss tem tusca tb,
184,trem a toa,,2022-09-26 22:25:37+00:00,"Cada fim de semana que eu dou rolê, eu fico uns três dias me questionando como eu aguentava 4 dias de tusca? como vou aguentar 5 dias de UP esse ano?",
185,Luciano Falcioni 🦄,,2022-09-25 16:31:09+00:00,RT @gabcarvaalho: 🗣🗣 VENDO TUSCA TERCEIRO LOTE ESTUDANTE,
186,Bio²,"Botucatu, Brasil",2022-09-25 16:27:25+00:00,"Tusca: 75 atrações 
Inter: Menos é mais",
187,rebeca,udão,2022-09-25 16:12:18+00:00,pelo amor de deeeeus alguém que vai no tusca pra trazer esse bucket pra mim aaaaaaaaa PERFEITO,
188,Gabriela,São José dos Campos,2022-09-25 15:44:42+00:00,🗣🗣 VENDO TUSCA TERCEIRO LOTE ESTUDANTE,
189,Bi,,2022-09-25 15:39:22+00:00,Djonga pq vc fez isso cmg agora eu quero ir no tusca pq capaz q tu não volte mais pra essa cidade minúscula,
190,beretta 🎗,americana - sp,2022-09-25 15:29:06+00:00,RT @BotTusca: Faltam 48 dias para o início do TUSCA,
191,Bot TUSCA 2022,Arena Tusca,2022-09-25 15:01:31+00:00,Faltam 48 dias para o início do TUSCA,
